RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score,interpretation
20740,8511,SW CONIFER LN,Local Access,1,454,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,454,0,Nothing
15130,8233,MINARD RD W,Local Access,2,3878,Urban,3878,2047,NA,NA,3,3,5,NA,1,1,2,2,2047,4094,Poor
15130,19389,MINARD RD W,Local Access,2,1256,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1256,0,Nothing
34550,19453,SE BAKER RD,Local Access,2,321,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,321,0,Nothing
71500,16494,NOLL RD NE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Nothing
71500,16510,NOLL RD NE,Minor Arterial,1,334,Rural,334,334,NA,NA,2,2,NA,4,1,1,2,2,334,668,Poor
71500,16501,NOLL RD NE,Minor Arterial,1,656,Rural,656,302,NA,NA,2,2,NA,4,1,1,2,2,302,604,Poor
71500,16501,NOLL RD NE,Minor Arterial,1,656,Rural,656,353,NA,NA,2,2,NA,4,1,1,2,2,353,706,Poor
71500,1863,NOLL RD NE,Minor Arterial,1,466,Rural,466,466,NA,NA,2,NA,NA,4,0,1,1,1,466,466,Poor
71500,1863,NOLL RD NE,Minor Arterial,1,466,Rural,466,0,NA,NA,NA,2,NA,4,1,0,1,1,0,0,Poor
71500,7568,NOLL RD NE,Minor Arterial,2,1059,Urban,1059,1057,NA,NA,2,NA,6,NA,0,1,1,1,1057,1057,Poor
71500,7568,NOLL RD NE,Minor Arterial,2,1059,Urban,1059,1051,NA,NA,NA,2,6,NA,1,0,1,1,1051,1051,Poor
71500,16627,NOLL RD NE,Minor Arterial,2,637,Urban,637,637,NA,NA,2,2,6,NA,1,1,2,2,637,1274,Poor
71500,2330,NOLL RD NE,Minor Arterial,1,187,Rural,187,187,NA,NA,2,NA,NA,4,0,1,1,1,187,187,Poor
71500,15919,NOLL RD NE,Minor Arterial,2,162,Urban,162,162,NA,NA,2,2,6,NA,1,1,2,2,162,324,Poor
71500,15923,NOLL RD NE,Minor Arterial,1,948,Rural,948,948,NA,NA,2,NA,NA,4,0,1,1,1,948,948,Poor
71500,15923,NOLL RD NE,Minor Arterial,1,948,Rural,948,918,NA,NA,NA,2,NA,4,1,0,1,1,918,918,Poor
71500,18455,NOLL RD NE,Minor Arterial,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Nothing
71500,19037,NOLL RD NE,Minor Arterial,1,153,Rural,153,153,NA,NA,2,2,NA,4,1,1,2,2,153,306,Poor
71500,19154,NOLL RD NE,Minor Arterial,2,0,Urban,0,0,NA,NA,2,NA,6,NA,0,1,1,1,0,0,Poor
70931,7181,JOHNSON WAY NE,Local Access,1,201,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0,Nothing
71500,2329,NOLL RD NE,Minor Arterial,1,306,Rural,306,306,NA,NA,2,2,NA,4,1,1,2,2,306,612,Poor
57216,4854,NE ORTIS RD,Local Access,1,924,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,924,0,Nothing
22360,3726,SW J H RD,Local Access,1,654,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,654,0,Nothing
87240,16488,NE OHMAN RD,Local Access,1,2455,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2455,0,Nothing
70400,461,HANSVILLE RD NE,Major Collector,1,1974,Rural,1974,1974,NA,NA,7,8,NA,6,5,5,10,10,1974,19740,Good
70400,19331,HANSVILLE RD NE,Major Collector,1,314,Rural,314,314,NA,NA,7,8,NA,6,5,5,10,10,314,3140,Good
56000,11707,NW SCHUYLER RD,Local Access,2,103,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,103,0,Nothing
56050,10820,HOLLAND RD NW,Local Access,2,203,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,203,0,Nothing
56050,7296,HOLLAND RD NW,Local Access,2,207,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,207,0,Nothing
