RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,NAME,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
20740,8511,SW CONIFER LN,Local Access,1,454,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,454,0
15130,8233,MINARD RD W,Local Access,2,3878,Urban,3878,2 South,2 South,2047,NA,NA,3,3,5,NA,1,1,2,2,2047,4094
15130,19389,MINARD RD W,Local Access,2,1256,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1256,0
34550,19453,SE BAKER RD,Local Access,2,321,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,321,0
22360,3726,SW J H RD,Local Access,1,654,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,654,0
15650,13741,W SHERMAN HEIGHTS RD,Local Access,2,750,Urban,750,2 South,2 South,750,NA,NA,3,NA,5,NA,0,1,1,1,750,750
15650,19422,W SHERMAN HEIGHTS RD,Local Access,2,221,Urban,221,2 South,2 South,221,NA,NA,3,NA,5,NA,0,1,1,1,221,221
33767,4118,SE SKYHAWK LN,Local Access,1,667,Rural,667,2 South,2 South,667,NA,NA,3,3,NA,3,5,5,10,10,667,6670
44940,12747,HARPER HILL RD SE,Local Access,1,3434,Rural,3434,2 South,2 South,3434,NA,NA,2,2,NA,3,1,1,2,2,3434,6868
44940,19405,HARPER HILL RD SE,Local Access,1,314,Rural,314,2 South,2 South,314,NA,NA,2,2,NA,3,1,1,2,2,314,628
40490,12875,HARRIS RD SE,Local Access,2,848,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,848,0
40490,14284,HARRIS RD SE,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
40490,19467,HARRIS RD SE,Local Access,2,268,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,268,0
41409,4927,SE OLYMPIAD DR,Local Access,1,1085,Rural,1085,2 South,2 South,1069,NA,NA,1,NA,NA,3,0,1,1,1,1069,1069
41409,4927,SE OLYMPIAD DR,Local Access,1,1085,Rural,1085,2 South,2 South,462,NA,NA,NA,1,NA,3,1,0,1,1,462,462
41409,1540,SE OLYMPIAD DR,Local Access,1,728,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,728,0
33100,10466,SE FRAGARIA RD,Local Access,1,3820,Rural,3820,2 South,2 South,3359,NA,NA,2,2,NA,3,1,1,2,2,3359,6718
33100,10466,SE FRAGARIA RD,Local Access,1,3820,Rural,3820,2 South,2 South,6,NA,NA,3,3,NA,3,5,5,10,10,6,60
41409,10327,OLYMPIAD DR SE,Local Access,1,426,Rural,426,2 South,2 South,426,NA,NA,1,1,NA,3,1,1,2,2,426,852
45310,8795,NOKOMIS RD SE,Local Access,1,2135,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2135,0
100,18612,GUY WETZEL ST,Local Access,2,19,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,0
36000,16075,SE KING RD,Local Access,1,419,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,419,0
21300,19257,SW HUCKLEBERRY RD,Local Access,1,1941,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1941,0
36000,19262,SE KING RD,Local Access,1,129,Rural,129,2 South,2 South,66,NA,NA,1,1,NA,3,1,1,2,2,66,132
31110,4821,STARR RD SE,Local Access,1,413,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,413,0
31110,19392,STARR RD SE,Local Access,1,195,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,195,0
46330,3034,ARNOLD AVE E,Local Access,2,275,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,275,0
33767,19294,SE SKYHAWK LN,Local Access,1,353,Rural,353,2 South,2 South,18,NA,NA,3,3,NA,3,5,5,10,10,18,180
45080,10499,SE GRAND VIEW ST,Local Access,1,516,Rural,516,2 South,2 South,492,NA,NA,2,5,NA,3,5,1,6,6,492,2952
43473,6485,SE DEVONSHIRE PL,Local Access,2,723,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,723,0
