RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,PLAN_AREA,TYPE.1,DATE_ADOPT,BCC_RESOLU,islamird,tomatch,distance,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
44350,3002,CALIFORNIA AVE E,Local Access,1,552,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,552,0
48350,10005,CEDAR ST E,Local Access,1,308,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,308,0
4023,9907,OREGON AVE E,Local Access,1,610,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0
49434,5200,E MANDERS WAY,Local Access,1,201,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
4023,9556,OREGON AVE E,Local Access,1,361,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,361,0
48800,1382,E HEMLOCK ST,Local Access,1,665,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665,0
4008,9454,CEDAR ST E,Local Access,1,391,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,391,0
4025,7990,E SUMMIT AVE,Local Access,1,280,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,280,0
4062,14268,GINGER PL E,Local Access,1,778,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,778,0
48187,14191,E CRESTWOOD CT,Local Access,1,557,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,557,0
44350,15527,CALIFORNIA AVE E,Local Access,1,271,Rural,271,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,17,NA,4,4,NA,3,NA,5,5,10,10,17,170
4065,9789,E LAST REFUGE WAY,Local Access,1,210,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,210,0
44350,15103,CALIFORNIA AVE E,Local Access,1,257,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,257,0
4018,12735,SE MCKINLEY ST,Local Access,1,351,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,351,0
49010,2140,SPRING ST E,Local Access,1,174,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,174,0
47460,3055,SE HAIDA DR,Local Access,1,1009,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1009,0
47210,2101,NEBRASKA ST SE,Local Access,1,664,Rural,664,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,664,NA,2,NA,NA,3,NA,0,1,1,1,664,664
47210,6245,NEBRASKA ST SE,Local Access,1,313,Rural,313,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,206,NA,2,NA,NA,3,NA,0,1,1,1,206,206
49430,3390,COLCHESTER DR SE,Minor Arterial,1,167,Rural,167,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,167,NA,6,4,NA,4,NA,5,5,10,10,167,1670
49010,7527,SPRING ST E,Local Access,1,258,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,258,0
48202,5661,E JUNEAU CT,Local Access,1,342,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,342,0
48204,6470,E SITKA CT,Local Access,1,824,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,824,0
49010,6304,SPRING ST E,Local Access,1,223,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,223,0
48675,7096,VALLEY AVE E,Local Access,1,236,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
48192,6529,E KLONDIKE CT,Local Access,1,137,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137,0
49430,8154,COLCHESTER DR SE,Minor Arterial,1,379,Rural,379,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,379,NA,6,4,NA,4,NA,5,5,10,10,379,3790
48340,3471,BAY VIEW AVE E,Local Access,1,343,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
49010,5258,SPRING ST E,Local Access,1,86,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,86,0
49010,3688,SPRING ST E,Local Access,1,166,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,0
47300,4462,COLE ST SE,Local Access,1,787,Rural,787,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,264,NA,NA,1,NA,3,NA,1,0,1,1,264,264
47240,5802,SE GRANT ST,Local Access,1,794,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,794,0
48675,5593,VALLEY AVE E,Local Access,1,265,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,265,0
47205,8188,TEXAS PL SE,Local Access,1,647,Rural,647,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,157,NA,2,2,NA,3,NA,1,1,2,2,157,314
47250,8057,ALASKA AVE SE,Major Collector,1,821,Rural,821,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,821,NA,3,3,NA,6,NA,1,1,2,2,821,1642
49430,6745,COLCHESTER DR SE,Minor Arterial,1,479,Rural,479,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,479,NA,6,4,NA,4,NA,5,5,10,10,479,4790
44350,8776,CALIFORNIA AVE E,Local Access,1,289,Rural,289,Manchester,Rural Village -Type I,20010610,267-2002,1,Manchester,59,NA,4,NA,NA,3,NA,0,5,5,5,59,295
