RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,PLAN_AREA,TYPE.1,DATE_ADOPT,BCC_RESOLU,islamird,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
500,10854,OLD MAN STATE PARK WAY,Local Access,1,180,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,180,0
72380,6967,NE PEAR ST,Local Access,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
72380,15623,NE PEAR ST,Local Access,1,165,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0
7014,11366,4TH AVE NE,Local Access,1,255,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255,0
73240,8886,NE FERN ST,Local Access,1,263,Rural,263,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,263,NA,NA,2,2,NA,3,1,1,2,2,263,526
71991,14225,DIVISION AVE NE,Minor Arterial,1,24,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0
71991,4438,DIVISION AVE NE,Local Access,1,503,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503,0
74866,1237,NE NEWTON ST,Local Access,1,949,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,949,0
74866,19381,NE NEWTON ST,Local Access,1,631,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,631,0
72325,3498,URBAN AVE NE,Local Access,1,192,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,192,0
70320,10869,AUGUSTA AVE NE,Minor Arterial,1,1422,Rural,1422,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,1,NA,NA,2,2,NA,4,1,1,2,2,1,2
70320,10869,AUGUSTA AVE NE,Minor Arterial,1,1422,Rural,1422,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,2,NA,NA,4,1,0,1,1,0,0
72900,3475,NE CEDAR ST,Local Access,1,298,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,298,0
72740,388,NE CENTER ST,Local Access,1,621,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,621,0
