RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,PLAN_AREA,TYPE.1,DATE_ADOPT,BCC_RESOLU,islamird,tomatch,distance,sidewalk_left,standard_sidewalk,standard_shoulder,sidewalk_right,shoulder_left,shoulder_right,score_left,score_right,score,the_score,the_length,w_score
59210,4964,COVE POINT LN NE,Local Access,1,332,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,332,0
59210,19219,COVE POINT LN NE,Local Access,1,316,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,316,0
59385,3793,SUNSET AVE NE,Local Access,1,260,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260,0
59290,9091,WASHINGTON AVE NE,Local Access,1,308,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,308,0
59290,10810,WASHINGTON AVE NE,Local Access,1,108,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,108,0
59250,12621,NE HARVARD AVE,Local Access,1,302,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,302,0
59380,4266,NE POULSBO AVE,Local Access,1,253,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,253,0
59385,8342,SUNSET AVE NE,Local Access,1,133,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,133,0
59180,14573,NE PACIFIC AVE,Local Access,1,206,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,206,0
59180,12419,NE PACIFIC AVE,Local Access,1,733,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,733,0
59380,9533,NE POULSBO AVE,Local Access,1,637,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,637,0
59290,166,WASHINGTON AVE NE,Local Access,1,205,Rural,205,Keyport,Rural Village -Type I,20071119,402-2007,1,Keyport,97,5,NA,3,NA,NA,NA,5,0,5,5,97,485
59290,12156,WASHINGTON AVE NE,Local Access,1,164,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,164,0
59440,2017,NE GRANDVIEW BLVD,Local Access,1,851,Rural,851,Keyport,Rural Village -Type I,20071119,402-2007,1,Keyport,146,5,NA,3,NA,NA,NA,5,0,5,5,146,730
59252,12182,ELWHA TER NE,Local Access,1,122,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,122,0
59385,1816,SUNSET AVE NE,Local Access,1,147,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,147,0
59252,6387,ELWHA TER NE,Local Access,1,259,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,259,0
59420,8963,NE PLEASANT ST,Local Access,1,316,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,316,0
