RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
84370,19217,WASHINGTON BLVD NE,Local Access,2,546,Urban,546,15,Kingston KRL,2,Kingston KRL,47,5,NA,NA,NA,5,NA,5,0,5,5,47,235
84370,19217,WASHINGTON BLVD NE,Local Access,2,546,Urban,546,15,Kingston KRL,2,Kingston KRL,33,NA,NA,1,1,5,NA,1,1,2,2,33,66
8011,1853,HILLER LN NE,Local Access,2,353,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,353,0
84575,11656,NE 3RD ST,Local Access,2,318,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,318,0
84310,9560,CENTRAL AVE NE,Major Collector,2,400,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,400,0
84310,11134,CENTRAL AVE NE,Major Collector,2,223,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,223,0
84420,11136,NE 2ND ST,Local Access,2,341,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,341,0
84420,5655,NE 2ND ST,Local Access,2,315,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0
85270,9925,LINDVOG RD NE,Major Collector,2,1650,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1650,0
84470,12074,OHIO AVE NE,Local Access,2,338,Urban,338,15,Kingston KRL,2,Kingston KRL,102,NA,5,NA,NA,5,NA,0,5,5,5,102,510
84570,11521,IOWA AVE NE,Local Access,2,345,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,345,0
84570,9355,IOWA AVE NE,Major Collector,2,181,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,181,0
84570,8599,IOWA AVE NE,Local Access,2,138,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138,0
84470,2942,OHIO AVE NE,Local Access,2,2033,Urban,2033,15,Kingston KRL,2,Kingston KRL,52,NA,5,NA,NA,5,NA,0,5,5,5,52,260
84470,2625,OHIO AVE NE,Local Access,2,361,Urban,361,15,Kingston KRL,2,Kingston KRL,109,NA,5,NA,NA,5,NA,0,5,5,5,109,545
84650,2568,ILLINOIS AVE NE,Local Access,2,296,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,296,0
84570,1623,IOWA AVE NE,Local Access,2,360,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,360,0
84370,9771,WASHINGTON BLVD NE,Local Access,2,359,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,359,0
84370,11823,WASHINGTON BLVD NE,Local Access,2,196,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,196,0
84830,9899,PENNSYLVANIA AVE NE,Local Access,2,674,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,674,0
84370,5641,WASHINGTON BLVD NE,Local Access,2,65,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65,0
83930,7516,JAMES LN NE,Local Access,2,556,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,556,0
