RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
48800,1382,E HEMLOCK ST,Local Access,1,665,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665,0
4008,9454,CEDAR ST E,Local Access,1,391,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,391,0
42510,18680,BEACH DR E,Minor Arterial,1,29,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,0
49010,2140,SPRING ST E,Local Access,1,174,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,174,0
49010,7527,SPRING ST E,Local Access,1,258,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,258,0
48202,5661,E JUNEAU CT,Local Access,1,342,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,342,0
49010,6304,SPRING ST E,Local Access,1,223,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,223,0
48675,7096,VALLEY AVE E,Local Access,1,236,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
48340,3471,BAY VIEW AVE E,Local Access,1,343,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
49010,5258,SPRING ST E,Local Access,1,86,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,86,0
49010,3688,SPRING ST E,Local Access,1,166,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,0
48675,5593,VALLEY AVE E,Local Access,1,265,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,265,0
48675,10198,VALLEY AVE E,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
43809,7412,E MADRONE AVE,Major Collector,1,228,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,228,0
42510,15685,BEACH DR E,Minor Arterial,1,1196,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1196,0
42510,15718,BEACH DR E,Minor Arterial,1,987,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,987,0
49370,1478,E CARAWAY RD,Local Access,1,815,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,815,0
47414,11706,LUCERO PL E,Local Access,1,190,Rural,190,15,Manchester KRL,2,Manchester KRL,57,NA,3,NA,NA,3,NA,5,0,5,5,57,285
49010,11577,SPRING ST E,Local Access,1,266,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,266,0
48800,346,E HEMLOCK ST,Local Access,1,135,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135,0
48210,3412,E ALKI VIEW CT,Local Access,1,1152,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1152,0
49040,6730,E MAPLE ST,Local Access,1,643,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,643,0
48670,4987,E ALDER ST,Local Access,1,311,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,311,0
48670,1875,E ALDER ST,Local Access,1,329,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,329,0
49400,10978,E DANIELS LOOP,Local Access,1,1329,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1329,0
49210,939,3RD AVE E,Local Access,1,658,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,658,0
49435,10684,E MAIN ST,Minor Arterial,1,203,Rural,203,15,Manchester KRL,2,Manchester KRL,11,5,NA,NA,NA,4,NA,0,5,5,5,11,55
49370,11456,E CARAWAY RD,Local Access,1,2178,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2178,0
