RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
56000,11707,NW SCHUYLER RD,Local Access,2,103,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,103,0
56050,10820,HOLLAND RD NW,Local Access,2,203,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,203,0
56050,7296,HOLLAND RD NW,Local Access,2,207,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,207,0
56050,2883,HOLLAND RD NW,Local Access,2,1369,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1369,0
56050,6573,HOLLAND RD NW,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
56050,3596,HOLLAND RD NW,Local Access,2,156,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,156,0
56000,9266,NW SCHUYLER RD,Local Access,2,795,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,795,0
50509,10313,TRACYTON BEACH RD NW,Major Collector,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
55270,321,ESSEX ST NW,Local Access,2,231,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
50509,10262,TRACYTON BEACH RD NW,Major Collector,2,1114,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1114,0
50509,16646,TRACYTON BEACH RD NW,Major Collector,2,1758,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1758,0
50509,1439,TRACYTON BEACH RD NW,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
55160,8618,NW TRACY AVE,Local Access,2,254,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,254,0
54600,11360,NE RIDDELL RD,Minor Arterial,2,1465,Urban,1465,15,Tracyton Community Library,2,Tracyton Community Library,402,NA,5,5,6,NA,NA,1,1,2,2,402,804
54600,2639,NE RIDDELL RD,Minor Arterial,2,179,Urban,179,15,Tracyton Community Library,2,Tracyton Community Library,54,NA,5,5,6,NA,NA,1,1,2,2,54,108
