RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
56261,5389,ST CHARLES LN NE,Local Access,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,15,Barker Creek Community School,2,Barker Creek Community School,106,NA,NA,4,4,6,NA,1,1,2,2,106,212
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,15,Barker Creek Community School,2,Barker Creek Community School,183,NA,NA,3,5,6,NA,1,1,2,2,183,366
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,15,Barker Creek Community School,2,Barker Creek Community School,14,5,NA,NA,NA,6,NA,3,0,3,3,14,42
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,15,Barker Creek Community School,2,Barker Creek Community School,161,NA,NA,4,4,6,NA,1,1,2,2,161,322
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,15,Barker Creek Community School,2,Barker Creek Community School,52,NA,NA,4,4,6,NA,1,1,2,2,52,104
56142,11722,JUANITA CIR NE,Local Access,2,161,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,161,0
56230,651,GRACELAND RD NE,Local Access,2,519,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,519,0
56333,11033,AVON CT NE,Local Access,2,514,Urban,514,15,Barker Creek Community School,2,Barker Creek Community School,27,NA,NA,1,1,5,NA,1,1,2,2,27,54
55700,8531,NE VENA AVE,Local Access,2,670,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,670,0
56261,10218,ST CHARLES LN NE,Local Access,2,52,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0
56261,974,ST CHARLES LN NE,Local Access,2,132,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132,0
56139,9604,NE MCWILLIAMS CT,Local Access,2,2173,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2173,0
56330,9531,CLOVER BLOSSOM LN NE,Local Access,2,377,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,377,0
56270,4802,BENTLEY CIR NE,Local Access,2,638,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,638,0
56375,10539,TATE PL NE,Local Access,2,329,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,329,0
51660,1453,NE DAWN RD,Local Access,2,646,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,646,0
51660,11206,NE DAWN RD,Local Access,2,239,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,239,0
56261,6378,ST CHARLES LN NE,Local Access,2,52,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0
56261,900,ST CHARLES LN NE,Local Access,2,133,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,133,0
56261,553,ST CHARLES LN NE,Local Access,2,62,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62,0
56261,5926,ST CHARLES LN NE,Local Access,2,134,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,134,0
56260,190,NE BENTLEY DR,Local Access,2,514,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,514,0
56260,2056,NE BENTLEY DR,Local Access,2,469,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,469,0
51665,5245,NE MARRIC CT,Local Access,2,826,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,826,0
