RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,sidewalk_left,standard_sidewalk,standard_shoulder,shoulder_left,shoulder_right,score_left,score_right,score,the_score,the_length,w_score
56760,7347,NW PINNACLE CT,Local Access,2,155,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,155,0
57305,997,NW TIMBER SHADOW CT,Local Access,2,149,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149,0
56760,5747,NW PINNACLE CT,Local Access,2,185,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185,0
56761,13119,PRESCOTT PL NW,Local Access,2,175,Urban,175,15,Emerald Heights Elementary,2,Emerald Heights Elementary,53,3,NA,5,NA,NA,NA,0,1,1,1,53,53
57632,7170,VANTAGE VISTA PL NW,Local Access,2,750,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,750,0
57630,5776,RIDGEPOINT DR NW,Local Access,2,477,Urban,477,15,Emerald Heights Elementary,2,Emerald Heights Elementary,56,NA,3,5,NA,NA,NA,1,0,1,1,56,56
57631,478,RIDGEPOINT CIR NW,Local Access,2,512,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,512,0
57631,12864,RIDGEPOINT CIR NW,Local Access,2,497,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,497,0
56768,7570,NW THORNWOOD CIR,Local Access,2,402,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,402,0
56768,12167,NW THORNWOOD CIR,Local Access,2,232,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,232,0
56767,10172,WALLINGFORD PL NW,Local Access,2,169,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,169,0
56768,10416,NW THORNWOOD CIR,Local Access,2,718,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,718,0
74865,12047,THACKERY PL NW,Local Access,2,955,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,955,0
56789,7356,PLATEAU CIR NW,Local Access,2,1742,Urban,1742,15,Emerald Heights Elementary,2,Emerald Heights Elementary,40,3,NA,5,NA,NA,NA,0,1,1,1,40,40
