RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
43473,6485,SE DEVONSHIRE PL,Local Access,2,723,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,723,0
42910,11588,JACKSON AVE SE,Minor Arterial,2,437,Urban,437,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,133,NA,3,3,6,NA,NA,1,1,2,2,133,266
42910,10203,JACKSON AVE SE,Minor Arterial,2,1025,Urban,1025,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,312,NA,3,3,6,NA,NA,1,1,2,2,312,624
42910,16055,JACKSON AVE SE,Minor Arterial,2,370,Urban,370,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,57,NA,3,3,6,NA,NA,1,1,2,2,57,114
42910,3952,JACKSON AVE SE,Minor Arterial,2,100,Urban,100,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,30,NA,3,3,6,NA,NA,1,1,2,2,30,60
46820,18214,SE LOVELL ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
43935,8004,MADRONA DR SE,Local Access,2,252,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,252,0
43935,7837,MADRONA DR SE,Local Access,2,120,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,120,0
43800,6109,SE TAMARACK DR,Local Access,2,599,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,599,0
43935,6974,MADRONA DR SE,Local Access,2,116,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,116,0
43010,14541,FRONTAGE RD SE,Local Access,2,27,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,0
43935,10579,MADRONA DR SE,Local Access,2,320,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,0
43935,6945,MADRONA DR SE,Local Access,2,689,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,689,0
43560,5814,GRAND FIR PL SE,Local Access,2,536,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,536,0
43935,15224,MADRONA DR SE,Local Access,2,580,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,580,0
43935,2872,MADRONA DR SE,Local Access,2,291,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,291,0
43935,12577,MADRONA DR SE,Local Access,2,412,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,412,0
42630,5510,SE MAPLE ST,Local Access,2,249,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,249,0
43935,4670,MADRONA DR SE,Local Access,2,327,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,327,0
43800,3660,SE TAMARACK DR,Local Access,2,130,Urban,130,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,0,NA,NA,3,5,NA,NA,0,1,1,1,0,0
43935,3063,MADRONA DR SE,Local Access,2,451,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,451,0
43935,5141,MADRONA DR SE,Local Access,2,166,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,0
42630,1629,SE MAPLE ST,Local Access,2,336,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,336,0
