RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
56740,1546,NW SID UHINCK DR,Local Access,2,129,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,129,0
56740,6157,NW SID UHINCK DR,Local Access,2,654,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,654,0
56791,7440,RIDGETOP BLVD NW,Principal Arterial,2,792,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,792,0
56791,12937,RIDGETOP BLVD NW,Principal Arterial,2,783,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,783,0
56740,11431,NW SID UHINCK DR,Local Access,2,402,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,402,0
56740,4150,NW SID UHINCK DR,Local Access,2,183,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,183,0
56740,5677,NW SID UHINCK DR,Local Access,2,264,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
56792,4135,NW CHENA RD,Local Access,2,466,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,466,0
56740,19349,NW SID UHINCK DR,Local Access,2,651,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,651,0
56792,19350,NW CHENA RD,Local Access,2,72,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,0
56791,4612,RIDGETOP BLVD NW,Principal Arterial,2,552,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,552,0
56791,2604,RIDGETOP BLVD NW,Principal Arterial,2,493,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,493,0
56791,13138,RIDGETOP BLVD NW,Principal Arterial,2,271,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,271,0
57720,5841,NW MYHRE RD,Minor Arterial,2,168,Urban,168,15,Silver Ridge Elementary,2,Silver Ridge Elementary,51,5,NA,NA,NA,6,NA,0,3,3,3,51,153
57720,6679,NW MYHRE RD,Minor Arterial,2,996,Urban,996,15,Silver Ridge Elementary,2,Silver Ridge Elementary,183,5,NA,NA,NA,6,NA,0,3,3,3,183,549
57720,18376,NW MYHRE RD,Minor Arterial,2,1357,Urban,1357,15,Silver Ridge Elementary,2,Silver Ridge Elementary,47,5,NA,NA,NA,6,NA,0,3,3,3,47,141
57720,9707,NW MYHRE RD,Minor Arterial,2,151,Urban,151,15,Silver Ridge Elementary,2,Silver Ridge Elementary,44,5,NA,NA,NA,6,NA,0,3,3,3,44,132
56791,14550,RIDGETOP BLVD NW,Major Collector,2,1170,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1170,0
56791,7838,RIDGETOP BLVD NW,Major Collector,2,1544,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1544,0
56791,3406,RIDGETOP BLVD NW,Principal Arterial,2,159,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,159,0
57576,9700,NW DERRYFIELD DR,Local Access,2,84,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,84,0
57582,3922,MARIGOLD DR NW,Local Access,2,305,Urban,305,15,Silver Ridge Elementary,2,Silver Ridge Elementary,20,3,NA,NA,NA,5,NA,0,1,1,1,20,20
57582,5692,MARIGOLD DR NW,Local Access,2,243,Urban,243,15,Silver Ridge Elementary,2,Silver Ridge Elementary,74,3,NA,NA,NA,5,NA,0,1,1,1,74,74
57580,6748,HILLSBORO DR NW,Local Access,2,1033,Urban,1033,15,Silver Ridge Elementary,2,Silver Ridge Elementary,267,3,NA,NA,NA,5,NA,0,1,1,1,267,267
57580,12305,HILLSBORO DR NW,Local Access,2,124,Urban,124,15,Silver Ridge Elementary,2,Silver Ridge Elementary,37,3,NA,NA,NA,5,NA,0,1,1,1,37,37
56900,7263,NW MONOPOLY ST,Local Access,2,345,Urban,345,15,Silver Ridge Elementary,2,Silver Ridge Elementary,73,3,NA,NA,NA,5,NA,0,1,1,1,73,73
56900,7263,NW MONOPOLY ST,Local Access,2,345,Urban,345,15,Silver Ridge Elementary,2,Silver Ridge Elementary,105,NA,3,NA,NA,5,NA,1,0,1,1,105,105
56900,7263,NW MONOPOLY ST,Local Access,2,345,Urban,345,15,Silver Ridge Elementary,2,Silver Ridge Elementary,98,NA,3,NA,NA,5,NA,1,0,1,1,98,98
56900,12095,NW MONOPOLY ST,Local Access,2,69,Urban,69,15,Silver Ridge Elementary,2,Silver Ridge Elementary,20,3,3,NA,NA,5,NA,1,1,2,2,20,40
56900,12095,NW MONOPOLY ST,Local Access,2,69,Urban,69,15,Silver Ridge Elementary,2,Silver Ridge Elementary,0,NA,3,NA,NA,5,NA,1,0,1,1,0,0
56796,10610,BOARDWALK PL NW,Local Access,2,152,Urban,152,15,Silver Ridge Elementary,2,Silver Ridge Elementary,46,3,NA,NA,NA,5,NA,0,1,1,1,46,46
56796,7107,BOARDWALK PL NW,Local Access,2,774,Urban,774,15,Silver Ridge Elementary,2,Silver Ridge Elementary,236,3,NA,NA,NA,5,NA,0,1,1,1,236,236
56901,6161,CAPITOLA PL NW,Local Access,2,468,Urban,468,15,Silver Ridge Elementary,2,Silver Ridge Elementary,142,3,NA,NA,NA,5,NA,0,1,1,1,142,142
57593,8621,TULIP PL NW,Local Access,2,548,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,548,0
57587,8784,NW HYDRANGEA ST,Local Access,2,242,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,242,0
57589,8966,NW POPPY CT,Local Access,2,137,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137,0
57592,9765,NW GLADIOLA CT,Local Access,2,383,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,383,0
57581,10211,ORCHID PL NW,Local Access,2,328,Urban,328,15,Silver Ridge Elementary,2,Silver Ridge Elementary,100,3,NA,NA,NA,5,NA,0,1,1,1,100,100
57576,11158,NW DERRYFIELD DR,Local Access,2,378,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,378,0
57589,12197,NW POPPY CT,Local Access,2,248,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,248,0
57589,12885,NW POPPY CT,Local Access,2,240,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,240,0
56910,312,CHANCE PL NW,Local Access,2,326,Urban,326,15,Silver Ridge Elementary,2,Silver Ridge Elementary,99,NA,3,NA,NA,5,NA,1,0,1,1,99,99
56812,7445,NW COVEY CT,Local Access,2,237,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,237,0
57583,11608,NW FUSCHIA CT,Local Access,2,106,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,106,0
57582,80,MARIGOLD DR NW,Local Access,2,125,Urban,125,15,Silver Ridge Elementary,2,Silver Ridge Elementary,32,NA,3,NA,NA,5,NA,1,0,1,1,32,32
57582,80,MARIGOLD DR NW,Local Access,2,125,Urban,125,15,Silver Ridge Elementary,2,Silver Ridge Elementary,25,3,NA,NA,NA,5,NA,0,1,1,1,25,25
57582,3717,MARIGOLD DR NW,Local Access,2,218,Urban,218,15,Silver Ridge Elementary,2,Silver Ridge Elementary,66,NA,3,NA,NA,5,NA,1,0,1,1,66,66
57582,3717,MARIGOLD DR NW,Local Access,2,218,Urban,218,15,Silver Ridge Elementary,2,Silver Ridge Elementary,23,3,NA,NA,NA,5,NA,0,1,1,1,23,23
57584,345,LOBELIA AVE NW,Local Access,2,405,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,405,0
57588,12568,PEONY PL NW,Local Access,2,513,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,513,0
56731,225,CLIPPER PL NW,Local Access,2,488,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,488,0
57588,4299,PEONY PL NW,Local Access,2,506,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,506,0
57575,8798,NW BARTLETT CT,Local Access,2,717,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,717,0
57582,8929,MARIGOLD DR NW,Local Access,2,455,Urban,455,15,Silver Ridge Elementary,2,Silver Ridge Elementary,44,NA,3,NA,NA,5,NA,1,0,1,1,44,44
57582,8929,MARIGOLD DR NW,Local Access,2,455,Urban,455,15,Silver Ridge Elementary,2,Silver Ridge Elementary,138,3,NA,NA,NA,5,NA,0,1,1,1,138,138
57579,13187,HAMPTON AVE NW,Local Access,2,355,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,355,0
57575,6854,NW BARTLETT CT,Local Access,2,253,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,253,0
56725,7202,RIDGEPARK PL NW,Local Access,2,367,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,367,0
56725,6360,RIDGEPARK PL NW,Local Access,2,876,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,876,0
57579,7842,HAMPTON AVE NW,Local Access,2,257,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,257,0
57577,12236,DURHAM PL NW,Local Access,2,78,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,78,0
57580,13066,HILLSBORO DR NW,Local Access,2,374,Urban,374,15,Silver Ridge Elementary,2,Silver Ridge Elementary,45,3,NA,NA,NA,5,NA,0,1,1,1,45,45
