RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
17800,18405,BURWELL ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
17090,18411,S CONSTITUTION AVE,Local Access,2,35,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,0
18412,18509,S CHARLESTON AVE,Local Access,2,36,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,0
16829,18413,BREMERTON BLVD W,Local Access,2,0,Urban,0,15,West Hills STEM Academy,2,West Hills STEM Academy,0,NA,NA,3,3,5,NA,1,1,2,2,0,0
16330,15561,S NATIONAL AVE,Major Collector,2,39,Urban,39,15,West Hills STEM Academy,2,West Hills STEM Academy,11,NA,NA,8,8,6,NA,2,2,4,4,11,44
17001,2267,W F ST,Local Access,2,88,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,88,0
17600,13988,W M ST,Local Access,2,249,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,249,0
16330,15560,S NATIONAL AVE,Major Collector,2,11,Urban,11,15,West Hills STEM Academy,2,West Hills STEM Academy,3,NA,NA,8,8,6,NA,2,2,4,4,3,12
16330,13794,S NATIONAL AVE,Major Collector,2,198,Urban,198,15,West Hills STEM Academy,2,West Hills STEM Academy,60,NA,NA,8,8,6,NA,2,2,4,4,60,240
16330,13794,S NATIONAL AVE,Major Collector,2,198,Urban,198,15,West Hills STEM Academy,2,West Hills STEM Academy,51,NA,NA,3,NA,6,NA,1,0,1,1,51,51
17130,10927,MCCOLLUM AVE,Local Access,2,201,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
16330,13991,S NATIONAL AVE,Major Collector,2,119,Urban,119,15,West Hills STEM Academy,2,West Hills STEM Academy,36,NA,NA,3,NA,6,NA,1,0,1,1,36,36
17280,13989,W I ST,Local Access,2,666,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,666,0
17300,13982,W J ST,Local Access,2,667,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,667,0
16771,14002,CHARLOTTE AVE W,Local Access,2,389,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,389,0
16330,13979,S NATIONAL AVE,Major Collector,2,246,Urban,246,15,West Hills STEM Academy,2,West Hills STEM Academy,50,NA,NA,3,6,6,NA,1,2,3,3,50,150
16330,13979,S NATIONAL AVE,Major Collector,2,246,Urban,246,15,West Hills STEM Academy,2,West Hills STEM Academy,74,NA,NA,3,NA,6,NA,1,0,1,1,74,74
16330,14003,S NATIONAL AVE,Minor Arterial,2,226,Urban,226,15,West Hills STEM Academy,2,West Hills STEM Academy,50,NA,NA,4.5,6,6,NA,1,2,3,3,50,150
16330,14003,S NATIONAL AVE,Minor Arterial,2,226,Urban,226,15,West Hills STEM Academy,2,West Hills STEM Academy,68,NA,NA,3,6,6,NA,1,2,3,3,68,204
17619,13985,W ARSENAL WAY,Major Collector,2,215,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215,0
17619,13977,W ARSENAL WAY,Major Collector,2,684,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,684,0
16330,13964,S NATIONAL AVE,Minor Arterial,2,236,Urban,236,15,West Hills STEM Academy,2,West Hills STEM Academy,72,NA,NA,6,6,6,NA,2,2,4,4,72,288
16330,13964,S NATIONAL AVE,Minor Arterial,2,236,Urban,236,15,West Hills STEM Academy,2,West Hills STEM Academy,47,NA,NA,NA,5,6,NA,0,1,1,1,47,47
16330,13964,S NATIONAL AVE,Minor Arterial,2,236,Urban,236,15,West Hills STEM Academy,2,West Hills STEM Academy,48,NA,NA,5,NA,6,NA,1,0,1,1,48,48
16330,13981,S NATIONAL AVE,Minor Arterial,2,176,Urban,176,15,West Hills STEM Academy,2,West Hills STEM Academy,53,NA,NA,6,6,6,NA,2,2,4,4,53,212
16330,13981,S NATIONAL AVE,Minor Arterial,2,176,Urban,176,15,West Hills STEM Academy,2,West Hills STEM Academy,50,NA,NA,3,6,6,NA,1,2,3,3,50,150
17640,13995,W N ST,Local Access,2,259,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,259,0
17640,13966,W N ST,Local Access,2,357,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,357,0
16460,13761,MCCALL BLVD W,Local Access,2,536,Urban,536,15,West Hills STEM Academy,2,West Hills STEM Academy,52,NA,NA,NA,1,5,NA,0,1,1,1,52,52
16460,13761,MCCALL BLVD W,Local Access,2,536,Urban,536,15,West Hills STEM Academy,2,West Hills STEM Academy,163,NA,NA,NA,3,5,NA,0,1,1,1,163,163
16460,13761,MCCALL BLVD W,Local Access,2,536,Urban,536,15,West Hills STEM Academy,2,West Hills STEM Academy,48,NA,NA,1,NA,5,NA,1,0,1,1,48,48
16460,13775,MCCALL BLVD W,Local Access,2,112,Urban,112,15,West Hills STEM Academy,2,West Hills STEM Academy,25,NA,NA,NA,3,5,NA,0,1,1,1,25,25
16960,8007,S SUMMIT AVE,Local Access,2,306,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,306,0
16960,13134,S SUMMIT AVE,Local Access,2,302,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,302,0
16770,11399,CHARLOTTE AVE W,Local Access,2,267,Urban,267,15,West Hills STEM Academy,2,West Hills STEM Academy,81,NA,NA,2,2,5,NA,1,1,2,2,81,162
