RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
83210,15933,NORMAN RD NE,Local Access,2,1273,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1273,0
86671,19176,NE WEST KINGSTON RD,Major Collector,2,1568,Urban,1568,15,Choice Academy,2,Choice Academy,315,10,10,6,NA,NA,NA,2,2,4,4,315,1260
86671,19176,NE WEST KINGSTON RD,Major Collector,2,1568,Urban,1568,15,Choice Academy,2,Choice Academy,67,10,10,6,NA,NA,NA,2,2,4,4,67,268
85270,9925,LINDVOG RD NE,Major Collector,2,1650,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1650,0
83930,7516,JAMES LN NE,Local Access,2,556,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,556,0
83730,10686,BARRETT RD NE,Local Access,2,1376,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1376,0
83810,2182,MARSHALL LN NE,Local Access,2,524,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,524,0
86671,18091,NE WEST KINGSTON RD,Major Collector,2,542,Urban,542,15,Choice Academy,2,Choice Academy,50,6,6,6,NA,NA,NA,2,2,4,4,50,200
86671,18091,NE WEST KINGSTON RD,Major Collector,2,542,Urban,542,15,Choice Academy,2,Choice Academy,165,6,6,6,NA,NA,NA,2,2,4,4,165,660
83690,10337,BARBER CUT OFF RD NE,Local Access,2,332,Urban,332,15,Choice Academy,2,Choice Academy,27,6,2,5,NA,NA,NA,1,2,3,3,27,81
83690,12139,BARBER CUT OFF RD NE,Local Access,2,608,Urban,608,15,Choice Academy,2,Choice Academy,185,6,2,5,NA,NA,NA,1,2,3,3,185,555
