RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,15,Miller Bay & Indianola,2,Miller Bay & Indianola,88,8,8,NA,6,NA,NA,5,5,10,10,88,880
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,15,Miller Bay & Indianola,2,Miller Bay & Indianola,64,8,8,NA,6,NA,NA,5,5,10,10,64,640
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,15,Miller Bay & Indianola,2,Miller Bay & Indianola,50,8,8,NA,6,NA,NA,5,5,10,10,50,500
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,15,Miller Bay & Indianola,2,Miller Bay & Indianola,3,8,NA,NA,6,NA,NA,0,5,5,5,3,15
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,15,Miller Bay & Indianola,2,Miller Bay & Indianola,1,NA,8,NA,6,NA,NA,5,0,5,5,1,5
70370,10986,MILLER BAY RD NE,Major Collector,1,4114,Rural,4114,15,Miller Bay & Indianola,2,Miller Bay & Indianola,205,3,3,NA,6,NA,NA,1,1,2,2,205,410
70370,10986,MILLER BAY RD NE,Major Collector,1,4114,Rural,4114,15,Miller Bay & Indianola,2,Miller Bay & Indianola,203,3,NA,NA,6,NA,NA,0,1,1,1,203,203
70370,10986,MILLER BAY RD NE,Major Collector,1,4114,Rural,4114,15,Miller Bay & Indianola,2,Miller Bay & Indianola,163,3,3,NA,6,NA,NA,1,1,2,2,163,326
70370,10986,MILLER BAY RD NE,Major Collector,1,4114,Rural,4114,15,Miller Bay & Indianola,2,Miller Bay & Indianola,207,NA,3,NA,6,NA,NA,1,0,1,1,207,207
70370,10986,MILLER BAY RD NE,Major Collector,1,4114,Rural,4114,15,Miller Bay & Indianola,2,Miller Bay & Indianola,190,3,3,NA,6,NA,NA,1,1,2,2,190,380
70370,10986,MILLER BAY RD NE,Major Collector,1,4114,Rural,4114,15,Miller Bay & Indianola,2,Miller Bay & Indianola,802,3,3,NA,6,NA,NA,1,1,2,2,802,1604
70370,10986,MILLER BAY RD NE,Major Collector,1,4114,Rural,4114,15,Miller Bay & Indianola,2,Miller Bay & Indianola,191,3,3,NA,6,NA,NA,1,1,2,2,191,382
70370,2196,MILLER BAY RD NE,Major Collector,1,815,Rural,815,15,Miller Bay & Indianola,2,Miller Bay & Indianola,50,8,8,NA,6,NA,NA,5,5,10,10,50,500
70370,2196,MILLER BAY RD NE,Major Collector,1,815,Rural,815,15,Miller Bay & Indianola,2,Miller Bay & Indianola,130,8,8,NA,6,NA,NA,5,5,10,10,130,1300
70370,2196,MILLER BAY RD NE,Major Collector,1,815,Rural,815,15,Miller Bay & Indianola,2,Miller Bay & Indianola,5,8,8,NA,6,NA,NA,5,5,10,10,5,50
