RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
41570,1085,SE LINCOLN AVE,Major Collector,2,152,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152,0
41570,4587,SE LINCOLN AVE,Major Collector,2,230,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
100,5946,SK MALL ACCESS RD,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,14110,MITCHELL AVE,Major Collector,2,9,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
100,11841,MELCHER ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,16620,MITCHELL AVE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
41735,4982,HARDING AVE SE,Local Access,2,278,Urban,278,15,St. Gabriel's Church,2,St. Gabriel's Church,19,5,NA,NA,5,NA,NA,5,0,5,5,19,95
42275,4289,SE SINCLAIR VIEW DR,Local Access,2,290,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,290,0
41300,11520,SE BECK ST,Local Access,2,264,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
41570,3180,LINCOLN AVE SE,Major Collector,2,688,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,688,0
100,18643,SK MALL ACCESS RD,Local Access,2,33,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0
40990,5634,MITCHELL RD SE,Major Collector,2,98,Urban,98,15,St. Gabriel's Church,2,St. Gabriel's Church,30,NA,3,3,6,NA,NA,1,1,2,2,30,60
41130,15932,HOOVER AVE SE,Local Access,2,1278,Urban,1278,15,St. Gabriel's Church,2,St. Gabriel's Church,389,3,NA,NA,5,NA,NA,1,0,1,1,389,389
41730,1066,JEFFERSON AVE SE,Local Access,2,264,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
41730,11834,JEFFERSON AVE SE,Local Access,2,131,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131,0
41730,5011,JEFFERSON AVE SE,Local Access,2,112,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,112,0
41300,8343,SE BECK ST,Local Access,2,368,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,368,0
41650,10221,GLENN CT SE,Local Access,2,292,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,292,0
41735,10628,HARDING AVE SE,Local Access,2,254,Urban,254,15,St. Gabriel's Church,2,St. Gabriel's Church,77,5,NA,NA,5,NA,NA,5,0,5,5,77,385
41730,4912,JEFFERSON AVE SE,Local Access,2,381,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,381,0
41810,2793,GILLETTE DR SE,Local Access,2,315,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0
41735,15433,HARDING AVE SE,Local Access,2,575,Urban,575,15,St. Gabriel's Church,2,St. Gabriel's Church,24,5,NA,NA,5,NA,NA,5,0,5,5,24,120
41570,466,LINCOLN AVE SE,Major Collector,2,1041,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1041,0
41570,2480,LINCOLN AVE SE,Major Collector,2,529,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,529,0
41730,15625,JEFFERSON AVE SE,Local Access,2,321,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,321,0
41570,8258,SE LINCOLN AVE,Major Collector,2,386,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,386,0
40990,313,MITCHELL RD SE,Major Collector,2,1103,Urban,1103,15,St. Gabriel's Church,2,St. Gabriel's Church,336,NA,3,3,6,NA,NA,1,1,2,2,336,672
41575,3677,KARCHER RD SE,Major Collector,2,599,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,599,0
41070,9403,GREENDALE DR SE,Local Access,2,262,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262,0
40990,1346,MITCHELL RD SE,Major Collector,2,339,Urban,339,15,St. Gabriel's Church,2,St. Gabriel's Church,56,NA,3,3,6,NA,NA,1,1,2,2,56,112
41730,11337,JEFFERSON AVE SE,Local Access,2,741,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,741,0
40990,16607,MITCHELL RD SE,Major Collector,2,220,Urban,220,15,St. Gabriel's Church,2,St. Gabriel's Church,67,NA,3,3,6,NA,NA,1,1,2,2,67,134
40990,16606,MITCHELL RD SE,Major Collector,2,149,Urban,149,15,St. Gabriel's Church,2,St. Gabriel's Church,45,NA,3,3,6,NA,NA,1,1,2,2,45,90
41730,7518,JEFFERSON AVE SE,Local Access,2,98,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,98,0
41210,7436,JOSLIN AVE SE,Local Access,2,947,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,947,0
41575,8399,KARCHER RD SE,Local Access,2,511,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,511,0
