RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
56261,5389,ST CHARLES LN NE,Local Access,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,15,McWilliams Park & Ride,2,McWilliams Park & Ride,106,NA,NA,4,4,6,NA,1,1,2,2,106,212
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,15,McWilliams Park & Ride,2,McWilliams Park & Ride,183,NA,NA,3,5,6,NA,1,1,2,2,183,366
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,15,McWilliams Park & Ride,2,McWilliams Park & Ride,14,5,NA,NA,NA,6,NA,3,0,3,3,14,42
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,15,McWilliams Park & Ride,2,McWilliams Park & Ride,161,NA,NA,4,4,6,NA,1,1,2,2,161,322
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,15,McWilliams Park & Ride,2,McWilliams Park & Ride,52,NA,NA,4,4,6,NA,1,1,2,2,52,104
56142,11722,JUANITA CIR NE,Local Access,2,161,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,161,0
56334,10413,NE LEXINGTON DR,Local Access,2,296,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,296,0
56230,651,GRACELAND RD NE,Local Access,2,519,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,519,0
56333,11033,AVON CT NE,Local Access,2,514,Urban,514,15,McWilliams Park & Ride,2,McWilliams Park & Ride,156,NA,NA,1,1,5,NA,1,1,2,2,156,312
55670,11514,HYLEN AVE NE,Local Access,2,325,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,325,0
56140,7351,NE MCWILLIAMS RD,Minor Arterial,2,519,Urban,519,15,McWilliams Park & Ride,2,McWilliams Park & Ride,157,NA,NA,4,4,6,NA,1,1,2,2,157,314
56140,15145,NE MCWILLIAMS RD,Minor Arterial,2,172,Urban,172,15,McWilliams Park & Ride,2,McWilliams Park & Ride,52,NA,NA,4,4,6,NA,1,1,2,2,52,104
56320,11311,JOHNSON RD NE,Local Access,2,993,Urban,993,15,McWilliams Park & Ride,2,McWilliams Park & Ride,156,NA,NA,1,1,5,NA,1,1,2,2,156,312
55700,4358,NE VENA AVE,Local Access,2,533,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,533,0
55700,8531,NE VENA AVE,Local Access,2,670,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,670,0
56261,10218,ST CHARLES LN NE,Local Access,2,52,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0
56261,974,ST CHARLES LN NE,Local Access,2,132,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132,0
56139,9604,NE MCWILLIAMS CT,Local Access,2,2173,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2173,0
56330,9531,CLOVER BLOSSOM LN NE,Local Access,2,377,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,377,0
56270,4802,BENTLEY CIR NE,Local Access,2,638,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,638,0
56375,10539,TATE PL NE,Local Access,2,329,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,329,0
