RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
500,10854,OLD MAN STATE PARK WAY,Local Access,1,180,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,180,0
72380,6967,NE PEAR ST,Local Access,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
72380,15623,NE PEAR ST,Local Access,1,165,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0
7014,11366,4TH AVE NE,Local Access,1,255,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255,0
7007,11204,IRWIN AVE NE,Local Access,1,1097,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1097,0
71991,417,DIVISION AVE NE,Local Access,1,404,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,404,0
73240,8886,NE FERN ST,Local Access,1,263,Rural,263,15,Suquamish Park & Ride,2,Suquamish Park & Ride,79,NA,NA,2,2,NA,3,1,1,2,2,79,158
7001,15927,NE FIR ST,Local Access,1,209,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,209,0
71991,14225,DIVISION AVE NE,Minor Arterial,1,24,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0
73230,19214,CANYON CREEK RD NE,Local Access,1,327,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,327,0
74866,1237,NE NEWTON ST,Local Access,1,949,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,949,0
74866,19381,NE NEWTON ST,Local Access,1,631,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,631,0
72325,3498,URBAN AVE NE,Local Access,1,192,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,192,0
73195,4504,NE PEBBLE BEACH DR,Local Access,1,356,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,356,0
70320,10869,AUGUSTA AVE NE,Minor Arterial,1,1422,Rural,1422,15,Suquamish Park & Ride,2,Suquamish Park & Ride,247,NA,NA,NA,2,NA,4,0,1,1,1,247,247
70320,10869,AUGUSTA AVE NE,Minor Arterial,1,1422,Rural,1422,15,Suquamish Park & Ride,2,Suquamish Park & Ride,50,NA,NA,2,2,NA,4,1,1,2,2,50,100
70320,10869,AUGUSTA AVE NE,Minor Arterial,1,1422,Rural,1422,15,Suquamish Park & Ride,2,Suquamish Park & Ride,286,NA,NA,5,5,NA,4,5,5,10,10,286,2860
70320,10869,AUGUSTA AVE NE,Minor Arterial,1,1422,Rural,1422,15,Suquamish Park & Ride,2,Suquamish Park & Ride,248,NA,NA,2,NA,NA,4,1,0,1,1,248,248
72900,3475,NE CEDAR ST,Local Access,1,298,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,298,0
72740,388,NE CENTER ST,Local Access,1,621,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,621,0
72450,9015,BROCKTON AVE NE,Local Access,1,214,Rural,214,15,Suquamish Park & Ride,2,Suquamish Park & Ride,65,NA,3,NA,NA,NA,3,0,5,5,5,65,325
72450,1896,BROCKTON AVE NE,Local Access,1,205,Rural,205,15,Suquamish Park & Ride,2,Suquamish Park & Ride,62,NA,3,NA,NA,NA,3,0,5,5,5,62,310
70370,6320,MILLER BAY RD NE,Minor Arterial,1,969,Rural,969,15,Suquamish Park & Ride,2,Suquamish Park & Ride,50,NA,NA,3,3,NA,4,1,1,2,2,50,100
74670,13169,NE COLUMBIA ST,Minor Arterial,1,661,Rural,661,15,Suquamish Park & Ride,2,Suquamish Park & Ride,201,NA,NA,2,2,NA,4,1,1,2,2,201,402
71991,7986,DIVISION AVE NE,Minor Arterial,1,213,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213,0
71991,2684,DIVISION AVE NE,Minor Arterial,1,215,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,215,0
71991,4787,DIVISION AVE NE,Minor Arterial,1,212,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,212,0
73190,11491,SOUNDVIEW BLVD NE,Local Access,1,1236,Rural,1236,15,Suquamish Park & Ride,2,Suquamish Park & Ride,376,NA,NA,NA,1,NA,3,0,1,1,1,376,376
73190,16767,SOUNDVIEW BLVD NE,Local Access,1,991,Rural,991,15,Suquamish Park & Ride,2,Suquamish Park & Ride,238,NA,NA,NA,1,NA,3,0,1,1,1,238,238
73190,16767,SOUNDVIEW BLVD NE,Local Access,1,991,Rural,991,15,Suquamish Park & Ride,2,Suquamish Park & Ride,242,NA,NA,1,NA,NA,3,1,0,1,1,242,242
73190,16767,SOUNDVIEW BLVD NE,Local Access,1,991,Rural,991,15,Suquamish Park & Ride,2,Suquamish Park & Ride,166,NA,NA,NA,1,NA,3,0,1,1,1,166,166
71991,3380,DIVISION AVE NE,Minor Arterial,1,218,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,218,0
72794,11664,NE PARKWAY ST,Local Access,1,82,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,82,0
73190,15995,SOUNDVIEW BLVD NE,Local Access,1,631,Rural,631,15,Suquamish Park & Ride,2,Suquamish Park & Ride,192,NA,NA,1,1,NA,3,1,1,2,2,192,384
72380,15058,NE PEAR ST,Local Access,1,835,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,835,0
72200,12269,NE SOUTH ST,Local Access,1,213,Rural,213,15,Suquamish Park & Ride,2,Suquamish Park & Ride,54,5,NA,NA,NA,NA,3,5,0,5,5,54,270
