RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
15600,14932,BARTOLATZ RD W,Local Access,2,255,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255,0
10609,12712,W BELFAIR VALLEY RD,Minor Arterial,2,256,Urban,256,Gorst UGA,Gorst UGA,10,3,3,6,NA,NA,NA,1,1,2,2,10,20
10609,12712,W BELFAIR VALLEY RD,Minor Arterial,2,256,Urban,256,Gorst UGA,Gorst UGA,245,3,3,6,NA,NA,NA,1,1,2,2,245,490
15350,4480,HAWTHORNE AVE W,Local Access,2,374,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,374,0
15390,9849,OLYMPIC DR W,Local Access,2,251,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,251,0
26500,6721,W FRONTAGE RD,Local Access,2,712,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,712,0
15650,12502,W SHERMAN HEIGHTS RD,Local Access,2,330,Urban,330,Gorst UGA,Gorst UGA,251,3,NA,5,NA,NA,NA,0,1,1,1,251,251
15650,12502,W SHERMAN HEIGHTS RD,Local Access,2,330,Urban,330,Gorst UGA,Gorst UGA,80,3,NA,5,NA,NA,NA,0,1,1,1,80,80
15310,2208,BIRCH AVE W,Local Access,2,486,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,486,0
10609,174,W BELFAIR VALLEY RD,Minor Arterial,2,1166,Urban,1166,Gorst UGA,Gorst UGA,1166,3,3,6,NA,NA,NA,1,1,2,2,1166,2332
10609,10542,W BELFAIR VALLEY RD,Minor Arterial,2,1011,Urban,1011,Gorst UGA,Gorst UGA,975,3,NA,6,NA,NA,NA,0,1,1,1,975,975
10609,10542,W BELFAIR VALLEY RD,Minor Arterial,2,1011,Urban,1011,Gorst UGA,Gorst UGA,995,NA,3,6,NA,NA,NA,1,0,1,1,995,995
15530,15375,HAMILTON RD W,Local Access,2,217,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,217,0
26030,7418,FEIGLEY RD W,Local Access,2,459,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,459,0
26030,16614,FEIGLEY RD W,Local Access,2,289,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,289,0
15530,18216,HAMILTON RD W,Local Access,2,27,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,0
15650,14153,W SHERMAN HEIGHTS RD,Local Access,2,2268,Urban,2268,Gorst UGA,Gorst UGA,1302,3,NA,5,NA,NA,NA,0,1,1,1,1302,1302
15650,14153,W SHERMAN HEIGHTS RD,Local Access,2,2268,Urban,2268,Gorst UGA,Gorst UGA,799,3,NA,5,NA,NA,NA,0,1,1,1,799,799
26305,3400,W PLEASANT ST,Local Access,2,224,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,224,0
10609,2065,W BELFAIR VALLEY RD,Minor Arterial,2,642,Urban,642,Gorst UGA,Gorst UGA,602,3,3,6,NA,NA,NA,1,1,2,2,602,1204
15450,16129,SAM CHRISTOPHERSON AVE W,Local Access,2,730,Urban,730,Gorst UGA,Gorst UGA,730,7,7,5,NA,NA,NA,2,2,4,4,730,2920
15450,16130,SAM CHRISTOPHERSON AVE W,Local Access,2,183,Urban,183,Gorst UGA,Gorst UGA,183,7,7,5,NA,NA,NA,2,2,4,4,183,732
15450,330,SAM CHRISTOPHERSON AVE W,Local Access,2,538,Urban,538,Gorst UGA,Gorst UGA,535,7,7,5,NA,NA,NA,2,2,4,4,535,2140
15420,5884,W FRONE DR,Local Access,2,535,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,535,0
15510,12668,THORSON RD W,Local Access,2,1026,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1026,0
26030,542,FEIGLEY RD W,Local Access,2,671,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,671,0
15420,6025,W FRONE DR,Local Access,2,138,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138,0
