RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
40490,12875,HARRIS RD SE,Local Access,2,848,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,848,0
40490,14284,HARRIS RD SE,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
40490,19467,HARRIS RD SE,Local Access,2,268,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,268,0
100,18612,GUY WETZEL ST,Local Access,2,19,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,0
46330,3034,ARNOLD AVE E,Local Access,2,275,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,275,0
43473,6485,SE DEVONSHIRE PL,Local Access,2,723,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,723,0
42910,11588,JACKSON AVE SE,Minor Arterial,2,437,Urban,437,Port Orchard UGA,Port Orchard UGA,437,NA,NA,3,3,6,NA,1,1,2,2,437,874
42910,10203,JACKSON AVE SE,Minor Arterial,2,1025,Urban,1025,Port Orchard UGA,Port Orchard UGA,1025,NA,NA,3,3,6,NA,1,1,2,2,1025,2050
42910,16055,JACKSON AVE SE,Minor Arterial,2,370,Urban,370,Port Orchard UGA,Port Orchard UGA,312,NA,NA,3,3,6,NA,1,1,2,2,312,624
42910,16055,JACKSON AVE SE,Minor Arterial,2,370,Urban,370,Port Orchard UGA,Port Orchard UGA,58,NA,NA,3,3,6,NA,1,1,2,2,58,116
40398,3996,SE VALE RD,Local Access,2,328,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328,0
40490,2328,HARRIS RD SE,Local Access,2,226,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,226,0
42510,9619,BEACH DR E,Minor Arterial,2,30,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,0
41570,1085,SE LINCOLN AVE,Major Collector,2,152,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152,0
42910,3952,JACKSON AVE SE,Minor Arterial,2,100,Urban,100,Port Orchard UGA,Port Orchard UGA,100,NA,NA,3,3,6,NA,1,1,2,2,100,200
4004,11264,AIKEN RD SE,Local Access,2,691,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,691,0
40490,19251,HARRIS RD SE,Local Access,2,191,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191,0
41570,4587,SE LINCOLN AVE,Major Collector,2,230,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
34702,9688,SE GROVEWOOD ST,Local Access,2,751,Urban,751,Port Orchard UGA,Port Orchard UGA,751,NA,NA,NA,3,5,NA,1,0,1,1,751,751
40618,9596,BRADY PL SE,Local Access,2,494,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,494,0
40202,8480,SE VILLA CARMEL DR,Local Access,2,141,Urban,141,Port Orchard UGA,Port Orchard UGA,140,NA,NA,1,1,5,NA,1,1,2,2,140,280
40551,8562,DEL TORMEY PL SE,Local Access,2,536,Urban,536,Port Orchard UGA,Port Orchard UGA,523,NA,NA,NA,3,5,NA,1,0,1,1,523,523
40510,7591,RHAPSODY DR SE,Local Access,2,713,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,713,0
40590,8281,SE ARIE CT,Local Access,2,521,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,521,0
40490,12850,HARRIS RD SE,Local Access,2,520,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,520,0
34704,7316,GREENGATE PL SE,Local Access,2,217,Urban,217,Port Orchard UGA,Port Orchard UGA,170,NA,NA,NA,3,5,NA,1,0,1,1,170,170
33600,10832,SE BIELMEIER RD,Major Collector,2,2184,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2184,0
40238,7009,SE COLVEA ST,Local Access,2,357,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,357,0
34205,7757,SE CEDAR RD,Local Access,2,1298,Urban,1298,Port Orchard UGA,Port Orchard UGA,294,NA,NA,5,5,5,NA,2,2,4,4,294,1176
34205,10687,SE CEDAR RD,Local Access,2,1128,Urban,1128,Port Orchard UGA,Port Orchard UGA,1126,NA,NA,5,5,5,NA,2,2,4,4,1126,4504
34205,10687,SE CEDAR RD,Local Access,2,1128,Urban,1128,Port Orchard UGA,Port Orchard UGA,1,NA,NA,5,5,5,NA,2,2,4,4,1,4
34290,10948,CONVERSE AVE SE,Local Access,2,407,Urban,407,Port Orchard UGA,Port Orchard UGA,407,NA,NA,6,6,5,NA,2,2,4,4,407,1628
34290,10661,CONVERSE AVE SE,Local Access,2,281,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,281,0
34290,11376,CONVERSE AVE SE,Local Access,2,332,Urban,332,Port Orchard UGA,Port Orchard UGA,332,NA,NA,6,6,5,NA,2,2,4,4,332,1328
40560,3146,SE AMELIA CT,Local Access,2,532,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,532,0
