RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_left,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
71500,7568,NOLL RD NE,Minor Arterial,2,1059,Urban,1059,Poulsbo UTA,Poulsbo UTA,893,2,NA,6,NA,NA,NA,1,0,1,1,893,893
7013,6543,NW EQUESTRIAN DR,Local Access,1,441,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,441,0
400,10311,VETTER RD NE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
74300,9451,NW CEDAR LN,Local Access,2,611,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,611,0
74300,19365,NW CEDAR LN,Local Access,2,580,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,580,0
400,16322,CLARET LOOP NW,Local Access,2,31,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,0
400,18003,CLARET LOOP NW,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
76285,6849,PARNELL PL NW,Local Access,1,326,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,326,0
76370,1270,NW THOMPSON RD,Local Access,2,376,Urban,376,Poulsbo UTA,Poulsbo UTA,313,NA,4,5,NA,NA,NA,0,1,1,1,313,313
76370,1270,NW THOMPSON RD,Local Access,2,376,Urban,376,Poulsbo UTA,Poulsbo UTA,324,4,NA,5,NA,NA,NA,1,0,1,1,324,324
76285,10929,PARNELL PL NW,Local Access,2,294,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,294,0
71910,16509,NW FINN HILL RD,Minor Arterial,2,935,Urban,935,Poulsbo UTA,Poulsbo UTA,190,NA,5,6,NA,NA,NA,0,1,1,1,190,190
71910,16509,NW FINN HILL RD,Minor Arterial,2,935,Urban,935,Poulsbo UTA,Poulsbo UTA,745,5,5,6,NA,NA,NA,1,1,2,2,745,1490
71910,16509,NW FINN HILL RD,Minor Arterial,2,935,Urban,935,Poulsbo UTA,Poulsbo UTA,174,5,NA,6,NA,NA,NA,1,0,1,1,174,174
71910,10456,NW FINN HILL RD,Minor Arterial,2,922,Urban,922,Poulsbo UTA,Poulsbo UTA,826,NA,5,6,NA,NA,NA,0,1,1,1,826,826
71910,10456,NW FINN HILL RD,Minor Arterial,2,922,Urban,922,Poulsbo UTA,Poulsbo UTA,828,5,NA,6,NA,NA,NA,1,0,1,1,828,828
77150,5813,NE LINCOLN RD,Minor Arterial,2,724,Urban,724,Poulsbo UTA,Poulsbo UTA,17,NA,4,6,NA,NA,NA,0,1,1,1,17,17
77150,5813,NE LINCOLN RD,Minor Arterial,2,724,Urban,724,Poulsbo UTA,Poulsbo UTA,27,4,NA,6,NA,NA,NA,1,0,1,1,27,27
76285,10565,PARNELL PL NW,Local Access,2,778,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,778,0
76260,8588,NW ACRE LN,Local Access,2,755,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,755,0
76286,12411,NW COMMERCE ST,Local Access,2,234,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,234,0
76180,9043,NW TRILBY CT,Local Access,2,397,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,397,0
76283,3522,WOODWARD WAY NW,Local Access,2,907,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,907,0
7035,18010,NILSEN LN NW,Local Access,2,1398,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1398,0
71910,6836,NW FINN HILL RD,Minor Arterial,2,341,Urban,341,Poulsbo UTA,Poulsbo UTA,341,5,5,6,NA,NA,NA,1,1,2,2,341,682
71910,5501,NW FINN HILL RD,Minor Arterial,2,351,Urban,351,Poulsbo UTA,Poulsbo UTA,351,5,5,6,NA,NA,NA,1,1,2,2,351,702
