Area,Score,Interpretation
Kitsap County,0.8400325707170757,Very Poor
3 Central,0.43624499896842267,Very Poor
1 North,1.0647644031770127,Poor
2 South,0.8410761169343035,Very Poor
Kingston UGA,0.18813357574269854,Very Poor
Bremerton West UGA,0.011259066667993825,Very Poor
Port Orchard UGA,0.06964496134439965,Very Poor
Bremerton East UGA,0.28822305730050907,Very Poor
Central Kitsap UGA,0.07905951872006275,Very Poor
Gorst UGA,0,Nothing
Silverdale UGA,0.09584795296622155,Very Poor
Poulsbo UTA,0,Nothing
Puget Sound Industrial Center - Bremerton,0,Nothing
Manchester,1.0164588667331989,Poor
Suquamish,0.5800045901968421,Very Poor
Streibels Corner,0,Nothing
Bond/Gunderson,0,Nothing
Port Orchard Airport,9.484195008726916,Adequate
Port Gamble,0,Nothing
Twelve Trees,0.2702352808793423,Very Poor
Ecology Road,0,Nothing
Keyport,0.13520623279846714,Very Poor
George's Corner,2.355362147749169,Poor
West Hills STEM Academy,0.009235711344977445,Very Poor
David Wolfle Elementary,0.4019152190040851,Very Poor
Kingston Middle,0.3574956873506252,Very Poor
Choice Academy,0.27543948511341065,Very Poor
Suquamish Elementary,0.48352292058237384,Very Poor
Cougar Valley Elementary,0,Nothing
Clear Creek Elementary,0.49739958268428147,Very Poor
Central Kitsap High,0.05578518702622117,Very Poor
Central Kitsap Middle,0.0587009273442076,Very Poor
Ridgetop Middle,0.07326930552106495,Very Poor
Silver Ridge Elementary,0.07943484600906853,Very Poor
Olympic High,0.034235156002177754,Very Poor
Woodlands Elementary,0.10641546360157554,Very Poor
Fairview Middle,0.16716171217363107,Very Poor
Esquire Hills Elementary,0.01936799215800934,Very Poor
Cottonwood Elementary,0.21518816654417597,Very Poor
Brownsville Elementary,0.03220976669166987,Very Poor
Green Mountain Elementary,1.0249228778772776,Poor
Marcus Whitman Junior High,0.008032987714765197,Very Poor
Manchester Elementary,0.3050581236423407,Very Poor
Orchard Heights Elementary,0.05309193208412112,Very Poor
East Port Orchard Elementary,0.026360611131380475,Very Poor
Sunnyslope Elementary,0,Nothing
Hidden Creek Elementary,0.05822298980641428,Very Poor
South Colby Elementary,0.8458705261208613,Very Poor
John Sedgwick Middle,0.5341063322433277,Very Poor
Mullenix Ridge Elementary,0.9659652385433262,Very Poor
Olalla Elementary,0,Nothing
Burley Glenwood Elementary,0.7680407732914915,Very Poor
Discovery Alternative High,0.04930276512790545,Very Poor
Silverdale Elementary,0.08273899059763623,Very Poor
Klahowya Secondary,0.9272615202763476,Very Poor
Pinecrest Elementary,0.07554670049691432,Very Poor
Emerald Heights Elementary,0.07598435710342114,Very Poor
Hilder Pearson Elementary,0.6557148604756445,Very Poor
Richard Gordon Elementary,0.10901305067262315,Very Poor
Kingston High,0.3044176585442547,Very Poor
Chief Kitsap Academy,0.04521785169275808,Very Poor
Barker Creek Community School,0.04049488649172526,Very Poor
Kingston KRL,0.1834954192810199,Very Poor
Little Boston KRL,4.376520454671046,Minimum
Manchester KRL,0.28516676483017356,Very Poor
Silverdale KRL,0.051212808388502354,Very Poor
Tracyton Community Library,0.05178726498942873,Very Poor
West Bremerton Transit Center,0.008808682951381874,Very Poor
Silverdale Transit Center,0.02241013178673458,Very Poor
Kingston Ferry Terminal,0.13713637238624954,Very Poor
Southworth Ferry Terminal,0.708498070217687,Very Poor
Hwy. 305 & Suquamish Way,0.7125117537433855,Very Poor
McWilliams Park & Ride,0.03691899099179771,Very Poor
Suquamish Park & Ride,0.5018493800466662,Very Poor
Port Orchard Wal-Mart,0.030605058581964904,Very Poor
George's Corner Park & Ride,1.0538544199898372,Poor
Miller Bay & Indianola,1.6374314894691533,Poor
St. Gabriel's Church,0.037104610958798766,Very Poor
