Area,Score,Interpretation
Kitsap County,2.4686815664396935,Poor
3 Central,1.4598198205775887,Poor
1 North,2.2821425862157994,Poor
2 South,2.2069205373313543,Poor
Kingston UGA,0.9832129354567042,Very Poor
Bremerton West UGA,0.49372254165147716,Very Poor
Port Orchard UGA,0.6511466709171433,Very Poor
Bremerton East UGA,0.745403382520421,Very Poor
Central Kitsap UGA,0.6440717276658386,Very Poor
Gorst UGA,0.9541843733742238,Very Poor
Silverdale UGA,0.7483723052553324,Very Poor
Poulsbo UTA,0.40532989941172193,Very Poor
Puget Sound Industrial Center - Bremerton,0,Nothing
Manchester,1.6955486908976987,Poor
Suquamish,0.8882333258389558,Very Poor
Streibels Corner,4.455609615696738,Minimum
Bond/Gunderson,4.829715964487609,Minimum
Port Orchard Airport,9.484195008726916,Adequate
Port Gamble,0,Nothing
Twelve Trees,2.982682725103339,Poor
Ecology Road,0,Nothing
Keyport,0.13520623279846714,Very Poor
George's Corner,3.2727953571064368,Minimum
West Hills STEM Academy,0.3343324323187551,Very Poor
David Wolfle Elementary,2.3934879598656034,Poor
Kingston Middle,1.3132910906956798,Poor
Choice Academy,0.8857953372062716,Very Poor
Suquamish Elementary,0.7253206372751595,Very Poor
Cougar Valley Elementary,0.7637245896298847,Very Poor
Clear Creek Elementary,0.804187320950768,Very Poor
Central Kitsap High,0.4367528728904095,Very Poor
Central Kitsap Middle,0.45328068980986497,Very Poor
Ridgetop Middle,0.3044309228061663,Very Poor
Silver Ridge Elementary,0.29148041730841995,Very Poor
Olympic High,0.5329088933908035,Very Poor
Woodlands Elementary,0.5715216757782237,Very Poor
Fairview Middle,0.6774383884005706,Very Poor
Esquire Hills Elementary,0.33573353639400805,Very Poor
Cottonwood Elementary,0.7463721589973338,Very Poor
Brownsville Elementary,0.5164506081416589,Very Poor
Green Mountain Elementary,1.3016782342459101,Poor
Marcus Whitman Junior High,0.24894709665758463,Very Poor
Manchester Elementary,0.8341057429958479,Very Poor
Orchard Heights Elementary,0.3143792769031976,Very Poor
East Port Orchard Elementary,0.25559316309014096,Very Poor
Sunnyslope Elementary,0.19473056312351805,Very Poor
Hidden Creek Elementary,0.48619089032320834,Very Poor
South Colby Elementary,4.469154846956584,Minimum
John Sedgwick Middle,3.3178027515826085,Minimum
Mullenix Ridge Elementary,3.016657156663073,Minimum
Olalla Elementary,3.551244908319313,Minimum
Burley Glenwood Elementary,3.5300931002286537,Minimum
Discovery Alternative High,0.3037619016449962,Very Poor
Silverdale Elementary,0.7201597572689684,Very Poor
Klahowya Secondary,2.6343000221277144,Poor
Pinecrest Elementary,0.48177003928680506,Very Poor
Emerald Heights Elementary,0.2596907866143291,Very Poor
Hilder Pearson Elementary,1.031968668122553,Poor
Richard Gordon Elementary,0.9763899159554436,Very Poor
Kingston High,1.0005129577810632,Poor
Chief Kitsap Academy,0.8816168233879392,Very Poor
Barker Creek Community School,0.4262569829700798,Very Poor
Kingston KRL,0.7846940521403409,Very Poor
Little Boston KRL,7.928021032945781,Adequate
Manchester KRL,0.6423006084634203,Very Poor
Silverdale KRL,0.47227574310069165,Very Poor
Tracyton Community Library,0.48976454891153876,Very Poor
West Bremerton Transit Center,0.3486054487583232,Very Poor
Silverdale Transit Center,0.25943675445654363,Very Poor
Kingston Ferry Terminal,0.7504090834671698,Very Poor
Southworth Ferry Terminal,1.5774456640353267,Poor
Hwy. 305 & Suquamish Way,0.9725156813672471,Very Poor
McWilliams Park & Ride,0.4037112915652923,Very Poor
Suquamish Park & Ride,0.7478365815148861,Very Poor
Port Orchard Wal-Mart,0.3303221808032696,Very Poor
George's Corner Park & Ride,3.0995879560777406,Minimum
Miller Bay & Indianola,3.291500599820945,Minimum
St. Gabriel's Church,0.2555737185608322,Very Poor
